fid,repDist,prec,apRec,bureau,basicCar,agency,name,shapeLeng,abbrevApr,shapeArea,shapeLength
412,1172,11,NORTHEAST,CENTRAL BUREAU,11A71,PD,1172,0.05895314,NOE,1781739.25,7390.13890378659
413,1176,11,NORTHEAST,CENTRAL BUREAU,11A95,PD,1176,0.04348197,NOE,1205367.02734375,5299.38723345159
414,1171,11,NORTHEAST,CENTRAL BUREAU,11A71,PD,1171,0.05202044,NOE,1502453.38671875,6247.33265712666
415,1179,11,NORTHEAST,CENTRAL BUREAU,11A89,PD,1179,0.02594828,NOE,513643.1796875,3254.50755762436
416,1173,11,NORTHEAST,CENTRAL BUREAU,11A95,PD,1173,0.03877265,NOE,1168848.859375,4725.2081060036
417,1163,11,NORTHEAST,CENTRAL BUREAU,11A51,PD,1163,0.01790719,NOE,299349.390625,2210.64516451918
418,1174,11,NORTHEAST,CENTRAL BUREAU,11A95,PD,1174,0.02713491,NOE,464356.359375,3340.38624346465
419,1177,11,NORTHEAST,CENTRAL BUREAU,11A89,PD,1177,0.04198395,NOE,1224844.26953125,5164.65390411115
420,1161,11,NORTHEAST,CENTRAL BUREAU,11A51,PD,1161,0.01774338,NOE,293819.0390625,2173.68635317901
421,669,6,HOLLYWOOD,WEST BUREAU,6A79,PD,0669,0.02593458,HWD,555167.9609375,3075.98723837887
422,1175,11,NORTHEAST,CENTRAL BUREAU,11A95,PD,1175,0.04408166,NOE,806549.1875,5421.23202042617
423,429,4,HOLLENBECK,CENTRAL BUREAU,4A9,PD,0429,0.04306352,HOBK,1281096.140625,5286.41752209529
424,204,2,RAMPART,CENTRAL BUREAU,2A5,PD,0204,0.03889444,RAMP,1278724.58984375,4947.12644648606
425,408,4,HOLLENBECK,CENTRAL BUREAU,4A9,PD,0408,0.03228148,HOBK,648958.33984375,3828.35774425997
426,202,2,RAMPART,CENTRAL BUREAU,2A1,PD,0202,0.0228647,RAMP,457510.5234375,2743.2215212443
427,201,2,RAMPART,CENTRAL BUREAU,2A1,PD,0201,0.03119234,RAMP,933482.734375,3802.63164301691
428,679,6,HOLLYWOOD,WEST BUREAU,6A79,PD,0679,0.02069399,HWD,323567.859375,2543.6153340715
429,656,6,HOLLYWOOD,WEST BUREAU,6A77,PD,0656,0.02903621,HWD,591113.83984375,3403.78333222093
430,677,6,HOLLYWOOD,WEST BUREAU,6A77,PD,0677,0.04069751,HWD,1033490.6015625,4862.08426353114
431,657,6,HOLLYWOOD,WEST BUREAU,6A77,PD,0657,0.02129244,HWD,387117.4375,2557.20253528886
432,678,6,HOLLYWOOD,WEST BUREAU,6A77,PD,0678,0.02852279,HWD,619424.8125,3466.84355514846
433,1189,11,NORTHEAST,CENTRAL BUREAU,11A89,PD,1189,0.04104584,NOE,394904.30859375,4925.94364915926
434,813,8,WEST LOS ANGELES,WEST BUREAU,8A13,PD,0813,0.09749245,WLA,4003260.80859375,12348.8837458686
435,1184,11,NORTHEAST,CENTRAL BUREAU,11A95,PD,1184,0.04592258,NOE,965530.89453125,5742.88701831234
436,1186,11,NORTHEAST,CENTRAL BUREAU,11A95,PD,1186,0.05520992,NOE,2111714.77734375,6644.24869153183
437,1183,11,NORTHEAST,CENTRAL BUREAU,11A95,PD,1183,0.03407389,NOE,887428.59375,4285.25608628402
438,426,4,HOLLENBECK,CENTRAL BUREAU,4A9,PD,0426,0.0284999,HOBK,637705.17578125,3417.37576245263
439,205,2,RAMPART,CENTRAL BUREAU,2A5,PD,0205,0.03612017,RAMP,1040880.58984375,4460.06207425697
440,706,7,WILSHIRE,WEST BUREAU,7A17,PD,0706,0.0354601,WILS,1062767.33203125,4272.34428626811
441,676,6,HOLLYWOOD,WEST BUREAU,6A77,PD,0676,0.02904953,HWD,592447.1484375,3407.52082539509
442,203,2,RAMPART,CENTRAL BUREAU,2A1,PD,0203,0.02060712,RAMP,330983.07421875,2440.05114321719
443,412,4,HOLLENBECK,CENTRAL BUREAU,4A3,PD,0412,0.04030265,HOBK,1079394.79296875,5014.18198556922
444,427,4,HOLLENBECK,CENTRAL BUREAU,4A9,PD,0427,0.04691289,HOBK,1912043.94140625,5666.85498973903
445,413,4,HOLLENBECK,CENTRAL BUREAU,4A3,PD,0413,0.01755541,HOBK,188839.3203125,2223.42763313171
446,211,2,RAMPART,CENTRAL BUREAU,2A1,PD,0211,0.02812877,RAMP,613928.1953125,3385.78924985293
447,1181,11,NORTHEAST,CENTRAL BUREAU,11A71,PD,1181,0.03456055,NOE,778357.16015625,4125.34015188962
448,428,4,HOLLENBECK,CENTRAL BUREAU,4A9,PD,0428,0.02947899,HOBK,538410.9140625,3548.4160073141
449,212,2,RAMPART,CENTRAL BUREAU,2A5,PD,0212,0.02885223,RAMP,778752.19140625,3544.89596998352
450,719,7,WILSHIRE,WEST BUREAU,7A17,PD,0719,0.03830888,WILS,1280200.81640625,4596.56905661314
451,2001,20,OLYMPIC,WEST BUREAU,20A1,PD,2001,0.03290416,OLYM,998349.22265625,3996.27631350767
452,2005,20,OLYMPIC,WEST BUREAU,20A13,PD,2005,0.0228478,OLYM,449236.2109375,2879.00199855548
453,2002,20,OLYMPIC,WEST BUREAU,20A1,PD,2002,0.02327254,OLYM,476948.62109375,2930.12083462225
454,2004,20,OLYMPIC,WEST BUREAU,20A13,PD,2004,0.02387714,OLYM,495952.68359375,2987.91393186758
455,438,4,HOLLENBECK,CENTRAL BUREAU,4A9,PD,0438,0.06385269,HOBK,2340216.16015625,7737.81191503029
456,1185,11,NORTHEAST,CENTRAL BUREAU,11A95,PD,1185,0.03167924,NOE,614601.57421875,3904.88437265029
457,411,4,HOLLENBECK,CENTRAL BUREAU,4A3,PD,0411,0.02829121,HOBK,808614.19140625,3553.84947686076
458,1195,11,NORTHEAST,CENTRAL BUREAU,11A95,PD,1195,0.04722635,NOE,1721427.08203125,5813.1723168802
459,717,7,WILSHIRE,WEST BUREAU,7A17,PD,0717,0.02750539,WILS,595340.76953125,3251.22641164465
460,715,7,WILSHIRE,WEST BUREAU,7A1,PD,0715,0.01740429,WILS,282153.140625,2125.11936675949
461,714,7,WILSHIRE,WEST BUREAU,7A1,PD,0714,0.01733462,WILS,277615.3125,2106.04728307675
462,713,7,WILSHIRE,WEST BUREAU,7A1,PD,0713,0.02462899,WILS,501980.30078125,2933.69433956059
463,109,1,CENTRAL,CENTRAL BUREAU,1A1,PD,0109,0.0241722,CENT,437807.87109375,3018.07410902953
464,216,2,RAMPART,CENTRAL BUREAU,2A17,PD,0216,0.02927011,RAMP,705766.80078125,3597.0007133142
