fid,repDist,prec,apRec,bureau,basicCar,agency,name,shapeLeng,abbrevApr,shapeArea,shapeLength
588,762,7,WILSHIRE,WEST BUREAU,7A53,PD,0762,0.03514204,WILS,1138342.38671875,4322.81539019129
589,275,2,RAMPART,CENTRAL BUREAU,2A75,PD,0275,0.01980339,RAMP,336203.6796875,2375.85330288969
590,847,8,WEST LOS ANGELES,WEST BUREAU,8A35,PD,0847,0.03760711,WLA,1053470,4517.88092024119
591,759,7,WILSHIRE,WEST BUREAU,7A69,PD,0759,0.02775504,WILS,542233.38671875,3295.7767491509
592,452,4,HOLLENBECK,CENTRAL BUREAU,4A71,PD,0452,0.02007473,HOBK,106932.65625,2482.58031294611
593,133,1,CENTRAL,CENTRAL BUREAU,1A1,PD,0133,0.00903502,CENT,74243.70703125,1098.65464108892
594,451,4,HOLLENBECK,CENTRAL BUREAU,4A71,PD,0451,0.02405756,HOBK,502512.859375,2898.2468490895
595,456,4,HOLLENBECK,CENTRAL BUREAU,4A59,PD,0456,0.0235214,HOBK,412569.4765625,2808.2457288588
596,151,1,CENTRAL,CENTRAL BUREAU,1A41,PD,0151,0.01335142,CENT,127367.953125,1595.01905304027
597,2069,20,OLYMPIC,WEST BUREAU,20A69,PD,2069,0.02531594,OLYM,570171.78125,3048.06165180889
598,128,1,CENTRAL,CENTRAL BUREAU,1A29,PD,0128,0.01806907,CENT,208020.7421875,2256.30565640326
599,152,1,CENTRAL,CENTRAL BUREAU,1A41,PD,0152,0.0206968,CENT,374224.8359375,2500.58072933036
600,835,8,WEST LOS ANGELES,WEST BUREAU,8A35,PD,0835,0.04053405,WLA,1390807.3125,4856.157252121
601,281,2,RAMPART,CENTRAL BUREAU,2A91,PD,0281,0.01619662,RAMP,218977.9375,2002.72570473853
